key,english,french
about.initiatives_desc,"Beyond travel experiences, we carry out concrete actions to support local youth, preserve our heritage, and encourage Djerbian talents.","Au-delà des expériences de voyage, nous portons des actions concrètes pour soutenir la jeunesse locale, préserver notre patrimoine et encourager les talents djerbiens."
about.laventurier_desc1,"This project is the fruit of a dream: to discover Tunisia differently, through sport, nature and humanity.","Ce projet est le fruit d'un rêve : faire découvrir la Tunisie autrement, à travers le sport, la nature et l'humain."
about.laventurier_desc2,"We imagine immersive and eco-responsible experiences, showcasing our territory, its artisans, its landscapes and its living heritage.","Nous imaginons des expériences immersives et éco-responsables, en valorisant notre territoire, ses artisans, ses paysages et son patrimoine vivant."
about.laventurier_heading,We are L'Aventurier.,Nous sommes L'Aventurier.
about.laventurier_intro,L'Aventurier is an initiative of Jerba International Travel.,L'Aventurier est une initiative de Jerba International Travel.
about.local_immersion,Local Immersion,Immersion Locale
about.local_immersion_desc,"Our itineraries are designed as human bridges. Meet, exchange, understand, and discover.","Nos itinéraires sont pensés comme des passerelles humaines. Rencontrer, échanger, comprendre et découvrir."
about.meta_description,"Discover Go Adventure - The digital extension of L'Aventurier brand for sustainable, active, and deeply human tourism in Tunisia.","Découvrez Go Adventure - L'extension numérique de L'Aventurier pour un tourisme durable, actif et profondément humain en Tunisie."
about.our_story,L'Aventurier: The Spirit of Meaningful Travel,"L'Aventurier, l'esprit d'un voyage qui a du sens"
about.page_title,About Us - Go Adventure,À propos de nous - Go Adventure
about.partners,They Trusted Us,Ils nous ont fait confiance
about.sustainable,Sustainable Tourism,Tourisme Durable
about.sustainable_desc,"We prioritize soft mobility and local circuits, excluding high-impact practices like quad bikes and single-use plastics.","Nous privilégions les mobilités douces, les circuits courts, et excluons les pratiques à fort impact (quads, plastiques à usage unique, etc.)"
about.tagline,Explore Differently,Explorer autrement
about.team,A Local & Committed Team,Une équipe locale & engagée
about.team_desc,"Behind Go Adventure is an entire community of young talents, women artisans, sports guides, farmers, and enthusiasts who bring each adventure to life. We believe tourism can become a positive force — for visitors, residents, and the region alike.","Derrière Go Adventure, c'est toute une communauté de jeunes talents, de femmes artisanes, de guides sportifs, d'agriculteurs et de passionnés qui donnent vie à chaque aventure. Nous croyons que le tourisme peut devenir un moteur positif, pour les visiteurs mais aussi pour les habitants et le territoire."
about.title,About Us,À Propos
about.values,Our Values,Nos Valeurs
auth.account_verified,Account Verified!,Compte Vérifié !
auth.already_have_account,Already have an account?,Vous avez déjà un compte ?
auth.back_home,Back to home,Retour à l'accueil
auth.back_to_login,Back to login,Retour à la connexion
auth.bookings_found_message,Link these bookings to your account to manage them easily.,Liez ces réservations à votre compte pour les gérer facilement.
auth.bookings_found_title,We found your bookings!,Nous avons trouvé vos réservations !
auth.bookings_linked,Bookings linked successfully!,Réservations liées avec succès !
auth.check_email_for_reset,Check your email,Vérifiez votre email
auth.check_your_email,Check your email,Vérifiez votre email
auth.checking_bookings,Checking for your bookings,Vérification de vos réservations
auth.confirm_new_password,Confirm New Password,Confirmer le nouveau mot de passe
auth.confirm_password,Confirm Password,Confirmer le mot de passe
auth.continue_with_facebook,Continue with Facebook,Continuer avec Facebook
auth.continue_with_google,Continue with Google,Continuer avec Google
auth.create_account,Create Account,Créer un Compte
auth.create_account_subtitle,"Join to track bookings, save favorites, and get exclusive offers",Aucun mot de passe requis - nous utilisons une vérification par email sécurisée
auth.create_your_account,Create Your Account,Créez votre compte
auth.email,Email,Email
auth.first_name,First Name,Prénom
auth.forgot_password,Forgot Password?,Mot de passe oublié ?
auth.forgot_password_description,Enter your email address and we'll send you a link to reset your password.,Entrez votre adresse email et nous vous enverrons un lien pour réinitialiser votre mot de passe.
auth.forgot_password_error,Failed to send reset link. Please try again.,Échec de l'envoi du lien. Veuillez réessayer.
auth.forgot_password_title,Forgot your password?,Mot de passe oublié ?
auth.go_to_dashboard,Go to Dashboard,Aller au Tableau de Bord
auth.invalid_credentials,The provided credentials are incorrect.,Les identifiants fournis sont incorrects.
auth.invalid_token,Invalid verification link,Lien invalide
auth.last_name,Last Name,Nom
auth.link_bookings,Link Bookings,Lier les Réservations
auth.link_error,Failed to link bookings. Please try again.,Échec de la liaison des réservations. Veuillez réessayer.
auth.link_expires_15_min,This link expires in 15 minutes,Ce lien expire dans 15 minutes
auth.login,Login,Connexion
auth.login_failed,Login failed,Échec de la connexion
auth.login_successful,Login successful!,Connexion réussie !
auth.login_with_password,Login with password,Se connecter avec un mot de passe
auth.login_without_password,Login without password,Se connecter sans mot de passe
auth.logout,Logout,Déconnexion
auth.logout_confirm_message,Are you sure you want to log out of your account?,Êtes-vous sûr de vouloir vous déconnecter de votre compte ?
auth.logout_confirm_title,Log Out?,Se déconnecter ?
auth.magic_link_sent_to,We've sent a magic link to,Nous avons envoyé un lien magique à
auth.maybe_later,Maybe Later,Peut-être Plus Tard
auth.new_password,New Password,Nouveau mot de passe
auth.no_account,Don't have an account?,Vous n'avez pas de compte ?
auth.no_bookings_found,You're all set! No previous bookings were found to link.,Vous êtes prêt ! Aucune réservation précédente n'a été trouvée à lier.
auth.or_continue_with,or continue with,ou continuer avec
auth.or_sign_in,or sign in,ou se connecter
auth.password,Password,Mot de passe
auth.password_min_length,Minimum 8 characters,Minimum 8 caractères
auth.password_reset_success,Password Reset Successful!,Mot de passe réinitialisé !
auth.password_too_short,Password must be at least 8 characters,Le mot de passe doit contenir au moins 8 caractères
auth.passwordless_description,We'll send you a secure link to log in instantly,Nous vous enverrons un lien sécurisé pour vous connecter instantanément
auth.passwordless_login,Login without password,Connexion sans mot de passe
auth.passwords_do_not_match,Passwords do not match,Les mots de passe ne correspondent pas
auth.phone,Phone,Téléphone
auth.please_wait,Please wait while we verify your identity,Veuillez patienter...
auth.preferred_language,Preferred Language,Langue préférée
auth.redirecting,Redirecting to your dashboard...,Redirection vers votre tableau de bord...
auth.redirecting_dashboard,Redirecting to your dashboard...,Redirection vers votre tableau de bord...
auth.redirecting_to_login,Redirecting to login...,Redirection vers la connexion...
auth.register,Register,S'inscrire
auth.registration_error,Registration failed. Please try again.,Erreur lors de l'inscription. Veuillez réessayer.
auth.remember_password,Remember your password?,Vous vous souvenez de votre mot de passe ?
auth.request_new_link,Request a new link,Demander un nouveau lien
auth.request_new_reset_link,Request New Link,Demander un nouveau lien
auth.reset_link_expires,This link expires in 15 minutes.,Ce lien expire dans 15 minutes.
auth.reset_link_sent,We've sent a password reset link to,Nous avons envoyé un lien de réinitialisation à
auth.reset_password_button,Reset Password,Réinitialiser le mot de passe
auth.reset_password_description,Enter your new password below.,Entrez votre nouveau mot de passe ci-dessous.
auth.reset_password_expired,This reset link has expired or is invalid.,Ce lien de réinitialisation a expiré ou est invalide.
auth.reset_password_expired_description,Please request a new password reset link.,Veuillez demander un nouveau lien de réinitialisation.
auth.reset_password_title,Set New Password,Nouveau mot de passe
auth.send_magic_link,Send magic link,Envoyer le lien magique
auth.send_magic_link_error,Failed to send magic link. Please try again.,Échec de l'envoi du lien magique. Veuillez réessayer.
auth.send_reset_link,Send Reset Link,Envoyer le lien
auth.sign_in_email,Sign in with Email,Se connecter avec Email
auth.token_already_used,This link has already been used. Please log in or request a new magic link.,Lien déjà utilisé
auth.token_expired,This link has expired. Magic links are valid for 15 minutes. Please request a new one.,Lien expiré
auth.token_invalid,This verification link is invalid. Please check your email or request a new link.,Lien invalide ou expiré
auth.turnstile_error,Security verification failed. Please try again.,La vérification de sécurité a échoué. Veuillez réessayer.
auth.turnstile_expired,Security verification expired. Please verify again.,La vérification de sécurité a expiré. Veuillez vérifier à nouveau.
auth.use_different_email,Use a different email,Utiliser un autre email
auth.use_password_instead,Use password instead,Utiliser plutôt un mot de passe
auth.verification_email_sent,We've sent a verification email to,Nous avons envoyé un email de vérification à
auth.verification_expired,Verification link expired,Lien de vérification expiré
auth.verification_expired_message,This link has expired or is invalid. Enter your email to receive a new one.,Ce lien a expiré ou est invalide. Entrez votre email pour en recevoir un nouveau.
auth.verification_failed,Verification failed. Please try again or contact support if the problem persists.,Échec de la Vérification
auth.verification_failed_title,Verification failed,Échec de la Vérification
auth.verification_success,Email verified successfully!,Email vérifié avec succès !
auth.verify_email_message,We've sent a verification link to,Nous avons envoyé un lien de vérification à
auth.verify_email_resend,Resend verification email,Renvoyer l'email de vérification
auth.verify_email_resend_error,Failed to resend. Please try again.,Échec du renvoi. Veuillez réessayer.
auth.verify_email_resend_wait,Resend in,Renvoyer dans
auth.verify_email_resent,Verification email sent!,Email de vérification envoyé !
auth.verify_email_title,Check your email,Vérifiez votre email
auth.verifying,Verifying your link...,Vérification de votre lien...
auth.verifying_account,Setting up your account...,Configuration de votre compte...
auth.welcome_message,Welcome to Go Adventure! Your account is now active.,Bienvenue sur Go Adventure ! Votre compte est maintenant actif.
availability.aria_labels.next_month,Next month,Mois suivant
availability.aria_labels.previous_month,Previous month,Mois précédent
availability.available,available,disponible
availability.complete_booking_soon,Please complete your booking soon,Veuillez finaliser votre réservation rapidement
availability.hold_expired,Hold Expired,Réservation Expirée
availability.hold_expired_message,Your reservation hold has expired. Please select a new time slot.,Votre réservation a expiré. Veuillez sélectionner un nouveau créneau.
availability.hold_expires_in,Time remaining to complete booking,Temps restant pour finaliser la réservation
availability.hurry_last_minute,Hurry! Less than 1 minute remaining,Dépêchez-vous ! Moins d'1 minute restante
availability.no_slots_available,No time slots available for this date,Aucun créneau disponible pour cette date
availability.remaining_spots,"{count, plural, =1 {Only 1 spot left} other {Only # spots left}}","{count, plural, =1 {Plus qu'1 place} other {Plus que # places}}"
availability.select_date,Select a Date,Sélectionnez une Date
availability.select_time,Select a Time,Sélectionnez une Heure
availability.spots_left_short,left,restantes
availability.status.available,Available,Disponible
availability.status.blocked,Not available,Non disponible
availability.status.limited,Limited availability,Disponibilité limitée
availability.status.sold_out,Sold out,Complet
blog.all_tags,All Tags,Tous les Tags
blog.back_home,Back to Home,Retour à l'accueil
blog.clear_filters,Clear Filters,Effacer les Filtres
blog.filter_by_date,Sort by Date,Trier par Date
blog.filter_by_tag,Filter by Tag,Filtrer par Tag
blog.hero_label,Our Journal,Notre Journal
blog.hero_subtitle,"Guides, stories, and inspiration for your Tunisian adventure","Guides, histoires et inspiration pour votre aventure tunisienne"
blog.hero_title,Tales from the Dunes,Récits des Dunes
blog.meta_description,"Guides, stories, and inspiration from the dunes of Tunisia","Guides, histoires et inspiration des dunes de Tunisie"
blog.min_read,min read,min de lecture
blog.newest_first,Newest First,Plus Récents
blog.no_posts,No blog posts found. Check back soon!,Aucun article trouvé. Revenez bientôt !
blog.oldest_first,Oldest First,Plus Anciens
blog.page_title,Blog,Blog
blog.view_photos,View {count} Photos,Voir {count} Photos
booking.activity_details,Activity Details,Détails de l'Activité
booking.add_extras,Add extras,Ajouter des extras
booking.available,available,disponible
booking.available_capacity,Available Capacity,Capacité Disponible
booking.back,Back,Retour
booking.back_to_options,Back to options,Retour aux options
booking.base_price,Base Price,Prix de Base
booking.base_total,Base total,Total de base
booking.billing_contact,Billing Contact,Contact de Facturation
booking.billing_contact_info,Enter the billing contact details. You'll be able to add participant names after completing the booking.,Entrez les coordonnées de facturation. Vous pourrez ajouter les noms des participants après avoir finalisé votre réservation.
booking.booking_details,Booking Details,Détails de la Réservation
booking.booking_error,Failed to complete booking. Please try again.,Échec de la réservation. Veuillez réessayer.
booking.booking_failed,Booking Failed,Réservation Échouée
booking.checkout_options_desc,Log in for a faster checkout or continue as a guest,Connectez-vous pour un paiement plus rapide ou continuez en tant qu'invité
booking.complete_booking_subtitle,Choose how you'd like to continue,Choisissez comment vous souhaitez continuer
booking.complete_booking_title,Complete Your Booking,Finalisez Votre Réservation
booking.confirm,Confirm Booking,Confirmer la Réservation
booking.confirm_and_pay,Confirm & Pay,Confirmer et Payer
booking.confirmation.activity,Activity,Activité
booking.confirmation.add_names,Add Names,Ajouter les Noms
booking.confirmation.back_home,Back to Home,Retour à l'Accueil
booking.confirmation.booking_summary,Booking Summary,Récapitulatif de Réservation
booking.confirmation.complete_participant_names,Complete Participant Names,Compléter les Noms des Participants
booking.confirmation.create_account_subtitle,"Track all your bookings, get faster checkout, and receive exclusive offers. No password needed!","Suivez toutes vos réservations, bénéficiez d'un paiement plus rapide et recevez des offres exclusives. Aucun mot de passe requis !"
booking.confirmation.create_account_title,Create Your Account,Créez Votre Compte
booking.confirmation.create_free_account,Create Free Account,Créer un Compte Gratuit
booking.confirmation.do_later,Do This Later,Faire Plus Tard
booking.confirmation.email_sent,Confirmation email sent to,Un email de confirmation a été envoyé à
booking.confirmation.enter_names,Enter Participant Names,Entrer les Noms
booking.confirmation.enter_participant_names,Enter Participant Names,Entrer les Noms des Participants
booking.confirmation.guests,Guests,Voyageurs
booking.confirmation.names_optional_message,You can provide participant names now or later before your activity date.,Vous pouvez fournir les noms des participants maintenant ou plus tard avant la date de votre activité.
booking.confirmation.names_optional_title,Participant Names (Optional),Noms des Participants (Optionnel)
booking.confirmation.names_required_message,This activity requires participant names before departure. Please provide names now to ensure a smooth check-in process.,Cette activité nécessite les noms des participants avant le départ. Veuillez fournir les noms maintenant.
booking.confirmation.names_required_title,Participant Names Required,Noms des Participants Requis
booking.confirmation.number,Booking Number,Numéro de Réservation
booking.confirmation.participant_names_prompt,You have {count} participants in this booking. Enter their names to receive individual vouchers with QR codes for check-in.,Vous avez plusieurs participants dans cette réservation. Entrez leurs noms pour recevoir des bons individuels avec QR codes pour chaque personne.
booking.confirmation.passwordless_note,No password needed - magic link verification,Aucun mot de passe nécessaire - vérification par lien magique
booking.confirmation.provide_names_now,Provide Names Now,Fournir les Noms Maintenant
booking.confirmation.share_experience,Share your booking,Partagez votre prochaine expérience
booking.confirmation.subtitle,Your booking has been confirmed,Votre aventure vous attend !
booking.confirmation.title,Booking Confirmed!,Réservation Confirmée !
booking.confirmation.total_paid,Total Paid,Total Payé
booking.confirmation.view_booking,View Booking,Voir la Réservation
booking.contact_information,Contact Information,Informations de Contact
booking.contact_information_subtitle,Enter your details to receive booking confirmation and updates,Entrez vos coordonnées pour recevoir la confirmation et les mises à jour de votre réservation
booking.continue,Continue,Continuer
booking.continue_as_guest,Continue as guest,Continuer en tant qu'Invité
booking.continue_to_checkout,Continue to Checkout,Continuer
booking.date,Date,Date
booking.date_time,Date & Time,Date et Heure
booking.duration,Duration,Durée
booking.edit,Edit,Modifier
booking.email,Email,Email
booking.email_helper,Booking confirmation will be sent to this email,La confirmation de réservation sera envoyée à cet email
booking.email_invalid,Please enter a valid email,Veuillez entrer un email valide
booking.email_label,Email address,Adresse Email
booking.email_placeholder,your@email.com,votre@email.com
booking.email_required,Email is required,L'email est requis
booking.email_step_subtitle,We'll email your booking confirmation and access link. No account required.,Nous vous enverrons votre confirmation de réservation et un lien d'accès par email. Aucun compte requis.
booking.email_step_title,Where should we send your confirmation?,Où devons-nous envoyer votre confirmation ?
booking.extras,Extras,Extras
booking.extras_subtitle,Enhance your experience with optional add-ons,Améliorez votre expérience avec des options supplémentaires
booking.extras_title,Add Extras,Ajouter des Extras
booking.extras_total,Extras Total,Total Extras
booking.first_name,First Name,Prénom
booking.first_name_placeholder,John,Jean
booking.first_name_required,First name is required,Le prénom est requis
booking.flat_rate,for entire group,pour tout le groupe
booking.for_entire_group,for entire group,pour tout le groupe
booking.free,Free,Gratuit
booking.generic_booking_error,Unable to create reservation. Please try again.,Impossible de créer la réservation. Veuillez réessayer.
booking.go_to_homepage,Go to Homepage,
booking.grand_total,Total,Total
booking.guest,Guest,Invité
booking.guest_checkout_note,You'll be able to create an account after completing your booking,Vous pourrez créer un compte après avoir finalisé votre réservation
booking.guests,Guests,Invités
booking.guests_count,"{count} {count, plural, =1 {guest} other {guests}}","{count} {count, plural, =1 {voyageur} other {voyageurs}}"
booking.hold_expired_error,Your reservation has expired. Please select your date and time again.,Votre réservation a expiré. Veuillez sélectionner à nouveau votre date et heure.
booking.how_to_continue,How would you like to continue?,Comment souhaitez-vous continuer ?
booking.insufficient_capacity_detailed,"Not enough capacity. You requested {requested} spots, but only {available} are available.","Capacité insuffisante. Vous avez demandé {requested} places, mais seulement {available} sont disponibles."
booking.invalid_link,Invalid or unknown booking link.,
booking.last_name,Last Name,Nom
booking.last_name_placeholder,Doe,Dupont
booking.last_name_required,Last name is required,Le nom est requis
booking.link_expired,This link has expired.,
booking.link_expired_description,Your booking link has expired for security reasons. You can request a new link below.,
booking.load_failed,Failed to load booking.,
booking.location,Location,Lieu
booking.login_benefits,Track your bookings and get personalized recommendations,Suivez vos réservations et recevez des recommandations personnalisées
booking.login_error,Invalid email or password,Email ou mot de passe invalide
booking.login_existing_account,Log in to my account,Me connecter à mon compte
booking.login_to_continue,Log in to your account,Connectez-vous à votre compte
booking.magic_link_booking,Booking,
booking.manage_booking,Manage Your Booking,
booking.manage_booking_description,Enter participant names and download your vouchers for check-in.,
booking.manage_participants,Enter Participant Names,
booking.no_account_needed,No account needed. We'll send you a magic link to manage your booking.,Aucun compte nécessaire. Nous vous enverrons un lien magique pour gérer votre réservation.
booking.no_extras,No extras available for this activity,Aucun extra disponible pour cette activité
booking.not_specified,Not specified,Non spécifié
booking.only_x_spots_left,Only {count} spots left!,Seulement {count} places restantes !
booking.participant_entry_note,,Vous pourrez entrer les noms de tous les participants après avoir finalisé votre réservation.
booking.participants.activities_participants_count,{activities} activities • {participants} participants total,{activities} activités • {participants} participants au total
booking.participants.activities_saved,activities saved,activités enregistrées
booking.participants.activity,Activity,Activité
booking.participants.add_contact_info,Add contact info,Ajouter les coordonnées
booking.participants.all_complete,All participants complete!,Tous les participants complétés !
booking.participants.apply_to_all_bookings,Apply to All Bookings,Appliquer à toutes les réservations
booking.participants.applying_to_bookings,Applying to bookings:,Application aux réservations :
booking.participants.booking_number,Booking,Réservation
booking.participants.booking_progress,Booking {current} of {total},Réservation {current} sur {total}
booking.participants.bulk_entry_subtitle,These names will be applied to all {bookings} bookings.,Ces noms seront appliqués à toutes les {bookings} réservations.
booking.participants.bulk_entry_title,Enter Participant Names,Saisir les noms des participants
booking.participants.complete,complete,complet
booking.participants.continue,Continue,Continuer
booking.participants.continue_to_dashboard,Continue to Dashboard,Continuer vers le tableau de bord
booking.participants.copy_to_all,Copy to All,Copier vers tout
booking.participants.copy_to_remaining,Copy names to {count} remaining activities,Copier les noms vers {count} activités restantes
booking.participants.copying,Copying...,Copie en cours...
booking.participants.different_per_tour,Different participants per activity,Participants différents par activité
booking.participants.different_per_tour_description,Fill in names separately for each booking,Remplissez les noms séparément pour chaque réservation
booking.participants.email,Email,Email
booking.participants.enter_participant_names,Enter Participant Names,Saisir les noms des participants
booking.participants.entering_names_for,Entering participant names for:,Saisie des noms pour :
booking.participants.error_loading,Error Loading Bookings,Erreur de chargement
booking.participants.error_loading_message,We couldn't load your booking details. Please try again.,Nous n'avons pas pu charger les détails de vos réservations. Veuillez réessayer.
booking.participants.filled,filled,remplis
booking.participants.first_name,First Name,Prénom
booking.participants.first_name_placeholder,First name,Prénom
booking.participants.go_back,Go Back,Retour
booking.participants.go_to_bookings,Go to My Bookings,Voir mes réservations
booking.participants.incomplete,incomplete,incomplet
booking.participants.last_name,Last Name,Nom
booking.participants.last_name_placeholder,Last name,Nom
booking.participants.loading_bookings,Loading bookings...,Chargement des réservations...
booking.participants.names_helper,Enter the first and last name for each participant. Names will appear on vouchers.,Entrez le prénom et le nom de chaque participant. Les noms apparaîtront sur les bons.
booking.participants.not_started,Not started,Non commencé
booking.participants.ok_continue,"OK, Continue","OK, Continuer"
booking.participants.optional,optional,optionnel
booking.participants.overall_progress,Overall Progress,Progression globale
booking.participants.participant_number,Participant #{number},Participant #{number}
booking.participants.participants,participants,participants
booking.participants.phone,Phone,Téléphone
booking.participants.previous_booking,Previous Booking,Réservation précédente
booking.participants.quantities_differ_message,Your bookings have different numbers of participants. You'll need to enter names for each activity separately.,Vos réservations ont des nombres de participants différents. Vous devrez saisir les noms pour chaque activité séparément.
booking.participants.quantities_differ_title,Different Participant Counts,Nombres de participants différents
booking.participants.required_fields,* Required fields,* Champs requis
booking.participants.same_for_all_description,Fill in names once and apply to all bookings,Remplissez les noms une fois et appliquez à toutes les réservations
booking.participants.same_for_all_tours,Same participants for all activities,Mêmes participants pour toutes les activités
booking.participants.same_participants_question,Same participants for all activities?,Mêmes participants pour toutes les activités ?
booking.participants.save_activity,Save This Activity,Enregistrer cette activité
booking.participants.save_all_view_vouchers,Save All & View Vouchers,Tout enregistrer & voir les bons
booking.participants.save_participants,Save Participants,Enregistrer les Participants
booking.participants.saved,Saved,Enregistré
booking.participants.saving,Saving...,Enregistrement...
booking.participants.skip_confirm_message,You can complete participant names later from your dashboard. We'll send you an email reminder. Note: Vouchers require completed names to download.,Vous pouvez compléter les noms des participants plus tard depuis votre tableau de bord. Nous vous enverrons un rappel par email. Note : Les bons nécessitent les noms complets pour être téléchargés.
booking.participants.skip_confirm_title,Skip for Now?,Passer pour l'instant ?
booking.participants.skip_for_now,Skip for Now,Passer pour l'instant
booking.participants.subtitle,Enter the names of all participants for this booking.,Entrez les noms de tous les participants pour cette réservation.
booking.participants.title,Participant Information,Informations sur les Participants
booking.participants.view_vouchers,View Vouchers,Voir les bons
booking.participants.you_have_bookings,You have {count} bookings with {participants} total participants.,Vous avez {count} réservations avec {participants} participants au total.
booking.payment,Payment,Paiement
booking.payment_method,Payment Method,Méthode de Paiement
booking.per_booking,for entire group,pour tout le groupe
booking.per_item,per item,par article
booking.per_person,per traveller,par voyageur
booking.per_person_type,varies by age,varie selon l'âge
booking.per_traveller,per traveller,par voyageur
booking.per_unit,per item,par article
booking.person_types.free,Free,Gratuit
booking.phone,Phone,Téléphone
booking.phone_helper,We may need to contact you about your booking,Nous pourrions avoir besoin de vous contacter au sujet de votre réservation
booking.phone_invalid,Please enter a valid phone number,Veuillez entrer un numéro de téléphone valide
booking.phone_placeholder,+1 234 567 8900,+216 XX XXX XXX
booking.phone_required,Phone number is required,Le numéro de téléphone est requis
booking.price_breakdown,Price Breakdown,Détail des Prix
booking.processing,Processing...,Traitement en cours...
booking.request_new_link,Request New Link,
booking.review_subtitle,Please review your booking details before payment,Veuillez vérifier les détails avant le paiement
booking.review_title,Review Your Booking,Révisez Votre Réservation
booking.secure_booking,Secure Booking,Réservation Sécurisée
booking.secure_booking_message,Your payment information is encrypted and secure,Vos informations de paiement sont cryptées et sécurisées
booking.secure_link_description,Bookmark this page or save the email with your booking confirmation to access your booking anytime.,
booking.secure_link_notice,This is a secure booking link,
booking.select_date,Select a Date,Sélectionnez une Date
booking.sign_in_benefits,"Save your bookings, faster checkout, exclusive offers","Sauvegardez vos réservations, paiement plus rapide, offres exclusives"
booking.sign_in_benefits_title,Benefits of signing in,Avantages de la connexion
booking.special_requests,Special Requests,Demandes Spéciales
booking.special_requests_placeholder,Any special requirements or requests?,Des exigences ou demandes particulières ?
booking.spots_remaining,spots remaining,places restantes
booking.step_billing,Billing,Facturation
booking.step_contact,Contact,Contact
booking.step_date,Date,Date
booking.step_extras,Extras,Extras
booking.step_guests,Guests,Invités
booking.step_review,Review & Pay,Révision & Paiement
booking.step_time,Time,Heure
booking.step_traveler,Traveler Info,Info Voyageur
booking.subtotal,Subtotal,Sous-total
booking.terms_required,You must accept the terms and conditions to continue.,Vous devez accepter les conditions générales pour continuer.
booking.time,Time,Heure
booking.time_slot_capacity,Time Slot Capacity,Capacité du Créneau
booking.total,Total,Total
booking.traveler_info,Traveler Information,Informations Voyageur
booking.travelers,Travelers,Voyageurs
booking.variable_pricing,Variable pricing by person type,Prix variable selon le type de personne
booking.varies_by_age,varies by age,varie selon l'âge
booking.view_vouchers,Download Vouchers,
cart.add_to_cart,Add to Cart,Ajouter au Panier
cart.added_to_cart,Added to cart!,Ajouté au panier !
cart.browse_experiences,Browse Experiences,Parcourir les Expériences
cart.checkout.back,Back,Retour
cart.checkout.cart_bookings_confirmed,,Vos réservations sont confirmées !
cart.checkout.cart_empty_checkout,Your cart is empty. Add some experiences before checking out.,Votre panier est vide. Ajoutez des expériences avant de passer au paiement.
cart.checkout.confirmation_subtitle,"{count, plural, =1 {Your experience has been booked} other {Your # experiences have been booked}}","{count, plural, =1 {Votre expérience a été réservée} other {Vos # expériences ont été réservées}}"
cart.checkout.confirmation_title,Booking Confirmed!,Réservation Confirmée !
cart.checkout.continue_browsing,Continue Browsing,Continuer la Navigation
cart.checkout.continue_to_payment,Continue to Payment,Continuer vers le Paiement
cart.checkout.email_confirmation_sent,Confirmation emails have been sent to {email},Des emails de confirmation ont été envoyés à {email}
cart.checkout.error_updating_contact,Failed to update contact information. Please try again.,Échec de la mise à jour des coordonnées. Veuillez réessayer.
cart.checkout.order_summary,Order Summary,Récapitulatif de la Commande
cart.checkout.page_description,Complete your booking and secure your experiences,Finalisez votre réservation et sécurisez vos expériences
cart.checkout.page_title,Checkout,Paiement
cart.checkout.pay_now,Pay {amount},Payer {amount}
cart.checkout.payment_failed,Payment failed. Please try again.,Le paiement a échoué. Veuillez réessayer.
cart.checkout.primary_contact,Primary Contact,Contact Principal
cart.checkout.primary_contact_description,This person will receive booking confirmations and be the main point of contact.,Cette personne recevra les confirmations de réservation et sera le point de contact principal.
